"No.","Time","Source","Destination","Protocol","Length","Info"
"10","20:09:07.212252400","192.168.0.19","192.168.0.12","HTTP2","132","HEADERS[207959]"
"11","20:09:07.212252500","192.168.0.19","192.168.0.12","HTTP2","147","DATA[207959]"
"12","20:09:07.212750800","192.168.0.12","192.168.0.19","TCP","66","7777  >  54126 [ACK] Seq=1 Ack=148 Win=501 Len=0 TSval=1553434498 TSecr=2413114113"
"13","20:09:07.212750800","192.168.0.12","192.168.0.19","HTTP2","101","HEADERS[207959]: 204 No Content"
"14","20:09:07.212948900","192.168.0.19","192.168.0.12","TCP","66","54126  >  7777 [ACK] Seq=148 Ack=36 Win=501 Len=0 TSval=2413114115 TSecr=1553434498"
"15","20:09:07.378958900","192.168.0.23","192.168.0.22","UDP","67","49066  >  4997 Len=25"
"16","20:09:07.378959000","192.168.0.23","192.168.0.22","UDP","67","35703  >  4997 Len=25"
"17","20:09:07.378959000","192.168.0.23","192.168.0.22","UDP","67","36356  >  4997 Len=25"
"18","20:09:07.378959000","192.168.0.23","192.168.0.22","UDP","67","36317  >  4997 Len=25"
"19","20:09:07.378959100","192.168.0.23","192.168.0.22","UDP","67","47863  >  4997 Len=25"
"20","20:09:07.378959100","192.168.0.23","192.168.0.22","UDP","67","47439  >  4997 Len=25"
"21","20:09:07.378959100","192.168.0.23","192.168.0.22","UDP","67","47548  >  4997 Len=25"
"22","20:09:07.378959100","192.168.0.23","192.168.0.22","UDP","67","34125  >  4997 Len=25"
"23","20:09:07.378967700","192.168.0.23","192.168.0.22","UDP","67","36724  >  4997 Len=25"
"24","20:09:07.378985300","192.168.0.23","192.168.0.22","UDP","67","51841  >  4997 Len=25"
"25","20:09:07.378985400","192.168.0.23","192.168.0.22","UDP","67","36647  >  4997 Len=25"
"26","20:09:07.378985400","192.168.0.23","192.168.0.22","UDP","67","48785  >  4997 Len=25"
"27","20:09:07.379019500","192.168.0.23","192.168.0.22","UDP","67","50465  >  4997 Len=25"
"28","20:09:07.379019500","192.168.0.23","192.168.0.22","UDP","67","58580  >  4997 Len=25"
"29","20:09:07.379019500","192.168.0.23","192.168.0.22","UDP","67","60144  >  4997 Len=25"
"30","20:09:07.379164600","192.168.0.22","192.168.0.23","UDP","59","4997  >  49066 Len=17"
"31","20:09:07.379164600","192.168.0.22","192.168.0.23","UDP","59","4997  >  35703 Len=17"
"32","20:09:07.379164700","192.168.0.22","192.168.0.23","UDP","59","4997  >  36356 Len=17"
"33","20:09:07.379164700","192.168.0.22","192.168.0.23","UDP","59","4997  >  36317 Len=17"
"34","20:09:07.379164700","192.168.0.22","192.168.0.23","UDP","59","4997  >  47863 Len=17"
"35","20:09:07.379164800","192.168.0.22","192.168.0.23","UDP","59","4997  >  47439 Len=17"
"36","20:09:07.379164800","192.168.0.22","192.168.0.23","UDP","59","4997  >  47548 Len=17"
"37","20:09:07.379164800","192.168.0.22","192.168.0.23","UDP","59","4997  >  34125 Len=17"
"38","20:09:07.379168700","192.168.0.22","192.168.0.23","UDP","59","4997  >  36724 Len=17"
"39","20:09:07.379168800","192.168.0.22","192.168.0.23","UDP","59","4997  >  51841 Len=17"
"40","20:09:07.379168800","192.168.0.22","192.168.0.23","UDP","59","4997  >  36647 Len=17"
"41","20:09:07.379176700","192.168.0.22","192.168.0.23","UDP","59","4997  >  48785 Len=17"
"42","20:09:07.379176700","192.168.0.22","192.168.0.23","UDP","59","4997  >  50465 Len=17"
"43","20:09:07.379178900","192.168.0.22","192.168.0.23","UDP","59","4997  >  58580 Len=17"
"44","20:09:07.379228000","192.168.0.22","192.168.0.23","UDP","59","4997  >  60144 Len=17"
"59","20:09:08.380605300","192.168.0.23","192.168.0.22","UDP","67","35703  >  4997 Len=25"
"60","20:09:08.380605400","192.168.0.23","192.168.0.22","UDP","67","47548  >  4997 Len=25"
"61","20:09:08.380605400","192.168.0.23","192.168.0.22","UDP","67","48785  >  4997 Len=25"
"62","20:09:08.380605400","192.168.0.23","192.168.0.22","UDP","67","36724  >  4997 Len=25"
"63","20:09:08.380611600","192.168.0.23","192.168.0.22","UDP","67","50465  >  4997 Len=25"
"64","20:09:08.380611700","192.168.0.23","192.168.0.22","UDP","67","36356  >  4997 Len=25"
"65","20:09:08.380621300","192.168.0.23","192.168.0.22","UDP","67","36647  >  4997 Len=25"
"66","20:09:08.380621300","192.168.0.23","192.168.0.22","UDP","67","36317  >  4997 Len=25"
"67","20:09:08.380621400","192.168.0.23","192.168.0.22","UDP","67","49066  >  4997 Len=25"
"68","20:09:08.380650900","192.168.0.23","192.168.0.22","UDP","67","58580  >  4997 Len=25"
"69","20:09:08.380651000","192.168.0.23","192.168.0.22","UDP","67","34125  >  4997 Len=25"
"70","20:09:08.380651000","192.168.0.23","192.168.0.22","UDP","67","51841  >  4997 Len=25"
"71","20:09:08.380651000","192.168.0.23","192.168.0.22","UDP","67","47439  >  4997 Len=25"
"72","20:09:08.380651100","192.168.0.23","192.168.0.22","UDP","67","60144  >  4997 Len=25"
"73","20:09:08.380651100","192.168.0.23","192.168.0.22","UDP","67","47863  >  4997 Len=25"
"74","20:09:08.380820400","192.168.0.22","192.168.0.23","UDP","59","4997  >  35703 Len=17"
"75","20:09:08.380820500","192.168.0.22","192.168.0.23","UDP","59","4997  >  47548 Len=17"
"76","20:09:08.380820500","192.168.0.22","192.168.0.23","UDP","59","4997  >  48785 Len=17"
"77","20:09:08.380820500","192.168.0.22","192.168.0.23","UDP","59","4997  >  36724 Len=17"
"78","20:09:08.380820500","192.168.0.22","192.168.0.23","UDP","59","4997  >  50465 Len=17"
"79","20:09:08.380820600","192.168.0.22","192.168.0.23","UDP","59","4997  >  36356 Len=17"
"80","20:09:08.380820600","192.168.0.22","192.168.0.23","UDP","59","4997  >  36647 Len=17"
"81","20:09:08.380820600","192.168.0.22","192.168.0.23","UDP","59","4997  >  36317 Len=17"
"82","20:09:08.380825900","192.168.0.22","192.168.0.23","UDP","59","4997  >  49066 Len=17"
"83","20:09:08.380826000","192.168.0.22","192.168.0.23","UDP","59","4997  >  58580 Len=17"
"84","20:09:08.380826000","192.168.0.22","192.168.0.23","UDP","59","4997  >  34125 Len=17"
