timestamp,error_type,cleaned_message,Source,Destination
2026-04-25 20:09:07.212252000,HTTP2,headers207959,192.168.0.19,192.168.0.12
2026-04-25 20:09:07.212252000,HTTP2,data207959,192.168.0.19,192.168.0.12
2026-04-25 20:09:07.212750000,TCP,7777    54126 ack seq1 ack148 win501 len0 tsval1553434498 tsecr2413114113,192.168.0.12,192.168.0.19
2026-04-25 20:09:07.212750000,HTTP2,headers207959 204 no content,192.168.0.12,192.168.0.19
2026-04-25 20:09:07.212948000,TCP,54126    7777 ack seq148 ack36 win501 len0 tsval2413114115 tsecr1553434498,192.168.0.19,192.168.0.12
2026-04-25 20:09:07.378958000,UDP,49066    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:07.378959000,UDP,35703    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:07.378959000,UDP,36356    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:07.378959000,UDP,36317    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:07.378959000,UDP,47863    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:07.378959000,UDP,47439    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:07.378959000,UDP,47548    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:07.378959000,UDP,34125    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:07.378967000,UDP,36724    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:07.378985000,UDP,51841    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:07.378985000,UDP,36647    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:07.378985000,UDP,48785    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:07.379019000,UDP,50465    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:07.379019000,UDP,58580    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:07.379019000,UDP,60144    4997 len25,192.168.0.23,192.168.0.22
2026-04-25 20:09:07.379164000,UDP,4997    49066 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:07.379164000,UDP,4997    35703 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:07.379164000,UDP,4997    36356 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:07.379164000,UDP,4997    36317 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:07.379164000,UDP,4997    47863 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:07.379164000,UDP,4997    47439 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:07.379164000,UDP,4997    47548 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:07.379164000,UDP,4997    34125 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:07.379168000,UDP,4997    36724 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:07.379168000,UDP,4997    51841 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:07.379168000,UDP,4997    36647 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:07.379176000,UDP,4997    48785 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:07.379176000,UDP,4997    50465 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:07.379178000,UDP,4997    58580 len17,192.168.0.22,192.168.0.23
2026-04-25 20:09:07.379228000,UDP,4997    60144 len17,192.168.0.22,192.168.0.23
